what,x,y,z
v,-0.138853,-0.41768,-0.395002
v,-0.142264,-0.416981,-0.399803
v,-0.14227,-0.418232,-0.396092
v,-0.111071,-0.107449,-0.422238
v,-0.111465,-0.109451,-0.424235
v,-0.113044,-0.108186,-0.423756
v,-0.146812,-0.247817,-0.46625
v,-0.1445,-0.245229,-0.465736
v,-0.142805,-0.25137,-0.462232
v,-0.081458,-0.246004,-0.460768
v,-0.080911,-0.246453,-0.458642
v,-0.077388,-0.24467,-0.462142
v,-0.106397,-0.293425,-0.424664
v,-0.10762,-0.292015,-0.428254
v,-0.109207,-0.291256,-0.426225
v,-0.047365,-0.165889,-0.429677
v,-0.048209,-0.168716,-0.428444
v,-0.048965,-0.169003,-0.430981
v,-0.076244,-0.135142,-0.399608
v,-0.072306,-0.134719,-0.399773
v,-0.074702,-0.138747,-0.400477
v,-0.043195,-0.2179,-0.421711
v,-0.050579,-0.22295,-0.422648
v,-0.049861,-0.217228,-0.422852
v,-0.165594,-0.419912,-0.461791
v,-0.164808,-0.419908,-0.456655
v,-0.161119,-0.419899,-0.458828
v,-0.176244,-0.419961,-0.45541
v,-0.173172,-0.419942,-0.450807
v,-0.170571,-0.419928,-0.457111
v,-0.179114,-0.420004,-0.447283
v,-0.17872,-0.419991,-0.451302
v,-0.12465,-0.419476,-0.464896
v,-0.120757,-0.418977,-0.46142
v,-0.121659,-0.418499,-0.465782
v,-0.137117,-0.419614,-0.452263
v,-0.132654,-0.419791,-0.450829
v,-0.132202,-0.419321,-0.454555
v,-0.139008,-0.419663,-0.469507
v,-0.14111,-0.419546,-0.47553
v,-0.141973,-0.419685,-0.471207
v,-0.148873,-0.419256,-0.419347
v,-0.146945,-0.417857,-0.422341
v,-0.149432,-0.418756,-0.427005
v,-0.133203,-0.419764,-0.479278
v,-0.131869,-0.419501,-0.474944
v,-0.128263,-0.419476,-0.478579
v,-0.159135,-0.41983,-0.482528
v,-0.147651,-0.419818,-0.463683
v,-0.15295,-0.41986,-0.463485
v,-0.149273,-0.419859,-0.458581
v,-0.161511,-0.419884,-0.474389
v,-0.166585,-0.419926,-0.476746
v,-0.167764,-0.41993,-0.472004
v,-0.1726,-0.419953,-0.476655
v,-0.162424,-0.419871,-0.44587
v,-0.168602,-0.41991,-0.442617
v,-0.165445,-0.419872,-0.439536
v,-0.17633,-0.419947,-0.427934
v,-0.175384,-0.41991,-0.424088
v,-0.172375,-0.419907,-0.428483
v,-0.173343,-0.419957,-0.469886
v,-0.180176,-0.419885,-0.391962
v,-0.18371,-0.419883,-0.395759
v,-0.18401,-0.420143,-0.367047
v,-0.129674,-0.42014,-0.356319
v,-0.138796,-0.420155,-0.357637
v,-0.187391,-0.420132,-0.372172
v,-0.145496,-0.419995,-0.361165
v,-0.145447,-0.419867,-0.366581
v,-0.150665,-0.41993,-0.365329
v,-0.154944,-0.419562,-0.388685
v,-0.149798,-0.419356,-0.390451
v,-0.15513,-0.4194,-0.393954
v,-0.180794,-0.419847,-0.412301
v,-0.179638,-0.419811,-0.407794
v,-0.174961,-0.419793,-0.409386
v,-0.162446,-0.419806,-0.414816
v,-0.164081,-0.419822,-0.419466
v,-0.167326,-0.419821,-0.415204
v,-0.14424,-0.412166,-0.42803
v,-0.145324,-0.415953,-0.430369
v,-0.145301,-0.415473,-0.42776
v,-0.146605,-0.417234,-0.426763
v,-0.144876,-0.413365,-0.420041
v,-0.143065,-0.417748,-0.416193
v,-0.143583,-0.412119,-0.414225
v,-0.153629,-0.419452,-0.423239
v,-0.153622,-0.419369,-0.428151
v,-0.156838,-0.419596,-0.426499
v,-0.140423,-0.41967,-0.454426
v,-0.139022,-0.419555,-0.456993
v,-0.141246,-0.419831,-0.45572
v,-0.14304,-0.410316,-0.410682
v,-0.143276,-0.414564,-0.412271
v,-0.142488,-0.413596,-0.405275
v,-0.178082,-0.419794,-0.402739
v,-0.181014,-0.419843,-0.3974
v,-0.164076,-0.170547,-0.374771
v,-0.163238,-0.171507,-0.376685
v,-0.165807,-0.168818,-0.374103
v,-0.175013,-0.164509,-0.376257
v,-0.177258,-0.167878,-0.379997
v,-0.179169,-0.1629,-0.378487
v,-0.181865,-0.176999,-0.368269
v,-0.181855,-0.178178,-0.371093
v,-0.18048,-0.179454,-0.36999
v,-0.164963,-0.178068,-0.391069
v,-0.170752,-0.18312,-0.390216
v,-0.16457,-0.179408,-0.389126
v,-0.189231,-0.189349,-0.420213
v,-0.192176,-0.187198,-0.415888
v,-0.190097,-0.187002,-0.421495
v,-0.169235,-0.211326,-0.421912
v,-0.166123,-0.215504,-0.423034
v,-0.17011,-0.212725,-0.421021
v,-0.146157,-0.354076,-0.434743
v,-0.147607,-0.347027,-0.429623
v,-0.145413,-0.346594,-0.436305
v,-0.147498,-0.358563,-0.429837
v,-0.14738,-0.360083,-0.431579
v,-0.160087,-0.235133,-0.417287
v,-0.155788,-0.23663,-0.421108
v,-0.156429,-0.240458,-0.417632
v,-0.16606,-0.185257,-0.408192
v,-0.167495,-0.182252,-0.407672
v,-0.162774,-0.185111,-0.404644
v,-0.170314,-0.190004,-0.420444
v,-0.167042,-0.190773,-0.420087
v,-0.169562,-0.19364,-0.422911
v,-0.161234,-0.180591,-0.418462
v,-0.162937,-0.174382,-0.420619
v,-0.162729,-0.178027,-0.420438
v,-0.14329,-0.141282,-0.327947
v,-0.141307,-0.142612,-0.330277
v,-0.144041,-0.139461,-0.329575
v,-0.142102,-0.313528,-0.440402
v,-0.144035,-0.320283,-0.437604
v,-0.145737,-0.319791,-0.432374
v,-0.138524,-0.259769,-0.430788
v,-0.137875,-0.261167,-0.432831
v,-0.138267,-0.264794,-0.432387
v,-0.166739,-0.202842,-0.380286
v,-0.169532,-0.199362,-0.381228
v,-0.1707,-0.199506,-0.383521
v,-0.121211,-0.305769,-0.386776
v,-0.123544,-0.311581,-0.386415
v,-0.119605,-0.308429,-0.385637
v,-0.134259,-0.172912,-0.391038
v,-0.129537,-0.176712,-0.389755
v,-0.127733,-0.172363,-0.389762
v,-0.173141,-0.217011,-0.410505
v,-0.17461,-0.211876,-0.409369
v,-0.175419,-0.214288,-0.411617
v,-0.146799,-0.198385,-0.388764
v,-0.146563,-0.192537,-0.387558
v,-0.151182,-0.197437,-0.384863
v,-0.129132,-0.196732,-0.393818
v,-0.133595,-0.202426,-0.393504
v,-0.128718,-0.19793,-0.393579
v,-0.165962,-0.169031,-0.373097
v,-0.164159,-0.172242,-0.373599
v,-0.150723,-0.201531,-0.387134
v,-0.174052,-0.190919,-0.401011
v,-0.180089,-0.190155,-0.404877
v,-0.179853,-0.19251,-0.402467
v,-0.193411,-0.123888,-0.349605
v,-0.195619,-0.121378,-0.345546
v,-0.19457,-0.122849,-0.343288
v,-0.165517,-0.181748,-0.40567
v,-0.132855,-0.099368,-0.437011
v,-0.136091,-0.097518,-0.434891
v,-0.133153,-0.096114,-0.434425
v,-0.155326,-0.087048,-0.368377
v,-0.154927,-0.084528,-0.369837
v,-0.159858,-0.087137,-0.371132
v,-0.142526,-0.148798,-0.340423
v,-0.142941,-0.147494,-0.344613
v,-0.141059,-0.151472,-0.345333
v,-0.144323,-0.14619,-0.340355
v,-0.140277,-0.145173,-0.33441
v,-0.142013,-0.145985,-0.33169
v,-0.141319,-0.146352,-0.334086
v,-0.14569,-0.142788,-0.332008
v,-0.143539,-0.14301,-0.329549
v,-0.146221,-0.141352,-0.328401
v,-0.137627,-0.093971,-0.399502
v,-0.137913,-0.092196,-0.40004
v,-0.142227,-0.091835,-0.400026
v,-0.150885,-0.09693,-0.434307
v,-0.155061,-0.099245,-0.432444
v,-0.151882,-0.097258,-0.427643
v,-0.143377,-0.099074,-0.395162
v,-0.142645,-0.102255,-0.396449
v,-0.143188,-0.098048,-0.397934
v,-0.211219,-0.101139,-0.432302
v,-0.212949,-0.102586,-0.435501
v,-0.21701,-0.101429,-0.435781
v,-0.155452,-0.087855,-0.411084
v,-0.155159,-0.085865,-0.409164
v,-0.152815,-0.088189,-0.409881
v,-0.150203,-0.085571,-0.405425
v,-0.150897,-0.086564,-0.407877
v,-0.151912,-0.132222,-0.399741
v,-0.155077,-0.132981,-0.398321
v,-0.154181,-0.135473,-0.400002
v,-0.156578,-0.09054,-0.411998
