verticies,x,y,z
v, 0.506405, 0.649834, 0.169300
v, 0.522560, 0.629785, 0.111884
v, 0.538433, 0.723523, 0.178452
v, 0.381568, 1.926241, 0.146643
v, 0.426317, 1.998513, 0.027649
v, 0.358453, 1.964110, 0.129257
v, 0.613863, 1.773785, -2.345239
v, 0.698939, 1.705009, -2.430463
v, 0.761015, 1.789802, -2.460598
v, -2.371673, 1.798418, -0.908627
v, -2.444173, 1.772465, -0.948831
v, -2.342997, 1.747337, -0.947316
v, -2.246636, 1.870001, -0.768782
v, -2.134536, 1.953199, -0.775476
v, -2.248178, 1.905297, -0.912929
v, 0.620296, 1.883706, -2.388958
v, 0.571636, 1.856652, -2.314649
v, -0.555471, 0.511456, -0.141115
v, -0.533117, 0.465385, -0.240014
v, -0.539251, 0.315696, -0.177186
v, 0.309307, 0.043714, 0.416135
v, 0.201951, -0.008081, 0.532550
v, 0.542849, 0.951016, -0.101414
v, 0.542004, 1.059396, -0.006231
v, 0.571497, 0.984730, 0.019288
v, 0.554914, 0.033339, 0.048600
v, 0.496081, -0.006072, -0.033499
v, 0.395765, 0.011913, -0.283209
v, 0.367963, -0.018484, -0.362515
v, 0.303319, 0.020872, -0.310812
v, 0.543669, 0.634986, -0.280130
v, 0.456453, 0.414636, -0.323163
v, 0.458042, 0.586094, -0.376256
v, 0.502984, 0.333351, 0.134507
v, 0.508940, 0.298825, 0.070162
v, 0.550080, 0.547372, 0.052906
v, 0.547544, 0.688460, -0.131083
v, 0.527256, 0.614841, -0.160400
v, 0.404333, 0.073933, -0.221979
v, 0.372092, 0.090143, -0.302854
v, 0.533015, -0.030030, -0.175591
v, 0.505970, 0.008074, -0.125232
v, 0.216428, 0.003505, -0.649523
v, 0.583679, 0.047829, 0.092117
v, 0.125510, 0.015533, -0.663403
v, -0.031074, 0.000409, -0.624077
v, 0.125465, 2.085756, 0.218427
v, 0.078738, 1.998292, 0.234264
v, 0.251561, 2.010237, 0.226299
v, 0.723308, 2.524200, -0.178758
v, 0.790741, 2.630750, -0.251568
v, 0.882395, 2.598963, -0.168315
v, 0.436681, 2.563144, -0.641529
v, 0.479640, 2.621847, -0.714985
v, 0.492856, 2.542351, -0.702539
v, 0.539569, 1.212209, -0.287193
v, 0.562128, 1.235891, -0.163791
v, 0.533573, 1.024967, -0.171078
v, 0.184449, 2.550374, -0.069710
v, 0.182453, 2.638429, -0.092255
v, 0.149402, 2.527558, -0.084968
v, -0.292814, 2.009617, 0.137085
v, -0.338454, 2.168692, 0.255912
v, -0.380145, 2.244266, 0.173918
v, 0.309814, 1.950597, -0.283494
v, 0.272135, 2.037414, -0.320059
v, 0.331220, 2.040386, -0.210043
v, -0.021878, 1.502987, -0.567489
v, 0.028427, 1.497056, -0.604314
v, -0.033461, 1.412112, -0.571134
v, 0.199096, 1.539027, -0.511431
v, 0.330708, 1.452210, -0.475122
v, 0.185932, 1.420547, -0.557029
v, 0.097427, 1.870262, -0.382661
v, 0.140926, 1.945740, -0.349224
v, 0.123842, 1.820778, -0.412378
v, 0.260382, 1.619156, -0.456815
v, 0.499961, 1.398640, -0.331803
v, 0.474917, 1.272977, -0.382374
v, 0.387525, 1.401474, -0.446298
v, 0.502832, 2.289070, -2.770286
v, 0.647110, 2.318711, -2.735240
v, 0.586816, 2.221092, -2.724411
v, 0.313665, 2.250692, -2.565519
v, 0.488317, 2.330765, -2.582465
v, 0.481831, 2.321752, -2.682165
v, 0.827250, 2.189318, -2.427861
v, 0.784816, 2.314101, -2.591268
v, 0.696350, 2.256237, -2.381015
v, 0.721059, 2.083705, -2.848534
v, 0.729469, 2.186208, -2.764321
v, 0.786991, 2.084296, -2.785954
v, 0.692498, 1.789844, -2.765436
v, 0.605528, 1.958537, -2.877630
v, 0.721899, 1.969917, -2.821893
v, 0.878302, 2.607866, -0.853264
v, 0.812578, 2.577179, -0.751342
v, 0.796438, 2.588793, -0.827059
v, 0.459140, 3.257539, -0.592336
v, 0.466405, 3.234352, -0.469113
v, 0.591745, 3.372194, -0.518271
v, 1.045125, 2.733653, -1.208928
v, 1.144268, 2.747207, -1.312455
v, 1.067767, 2.690375, -1.324304
v, 0.965022, 3.840348, -0.585976
v, 0.905789, 3.671173, -0.543916
v, 0.951572, 3.757962, -0.614578
v, 0.283820, 1.977046, 0.000088
v, 0.350635, 2.067096, -0.080143
v, 0.399529, 2.179260, -0.035188
v, 0.313342, 2.511789, 0.342950
v, 0.339984, 2.446067, 0.289128
v, 0.282255, 2.591684, 0.244707
v, 0.065589, 2.542530, -0.220833
v, 0.093330, 2.487514, -0.153729
v, 0.334343, 2.031359, 0.143545
v, 0.316534, 1.974114, 0.184163
v, 0.233549, 2.418436, 0.156491
v, 0.164914, 2.311363, 0.056171
v, 0.141454, 2.459539, 0.065177
v, 0.130496, 2.597656, 0.247208
v, 0.171200, 2.608086, 0.337502
v, 0.235874, 2.629526, 0.242635
v, -0.217276, 2.863004, 0.665957
v, -0.235333, 2.738703, 0.538761
v, -0.255680, 2.794544, 0.596810
v, -0.044512, 3.630002, 1.218941
v, -0.005610, 3.568876, 1.075382
v, -0.104782, 3.452681, 1.089989
v, 0.443830, 4.008876, 0.137875
v, 0.345534, 4.019816, 0.242415
v, 0.383284, 3.996341, 0.127617
v, -0.315244, 3.717451, -0.542313
v, -0.139833, 3.645358, -0.496014
v, -0.291518, 3.755940, -0.573526
v, -0.559072, 3.751137, -0.520577
v, -0.440518, 3.771201, -0.559997
v, -0.624615, 3.683531, -0.525888
v, -0.048893, 3.812427, 0.068403
v, -0.055616, 3.916363, 0.117052
v, -0.061124, 3.856531, -0.006431
v, -0.018263, 1.626546, 0.454404
v, -0.138658, 1.504474, 0.495287
v, 0.004584, 1.530014, 0.507225
v, -0.403701, 3.060334, 0.462658
v, -0.510377, 3.178442, 0.478776
v, -0.462048, 3.290510, 0.439259
v, -0.177242, 3.050756, 0.767716
v, -0.236216, 2.975099, 0.769369
v, -0.233672, 3.075732, 0.886980
v, -0.121051, 2.366585, 0.343192
v, -0.186412, 2.347719, 0.428538
v, -0.146016, 2.276329, 0.392904
v, -0.421268, 2.739584, 0.225976
v, -0.381827, 2.815048, 0.304500
v, -0.391882, 2.774702, 0.222653
v, -0.466401, 1.584272, -0.195290
v, -0.373010, 1.769410, -0.132234
v, -0.409817, 1.635105, -0.275232
v, 0.126967, 1.701940, -0.440309
v, -0.059808, 1.661828, -0.488798
v, 0.036582, 1.867620, -0.431161
v, 0.208480, 2.135226, -0.065493
v, 0.325045, 2.183883, -0.054023
v, 0.268066, 2.128909, -0.086182
v, -0.094970, 1.947198, -0.418942
v, -0.024087, 1.951822, -0.437159
v, 0.170825, 2.865096, -0.259769
v, 0.132750, 3.025808, -0.365055
v, 0.083452, 2.857541, -0.320050
v, -0.365503, 2.399391, -0.119873
v, -0.283416, 2.340963, -0.034934
v, -0.240897, 2.278791, -0.080000
v, -0.709895, 2.244169, -0.228630
v, -0.777526, 2.300176, -0.257637
v, -0.702851, 2.206547, -0.319368
v, -0.434088, 2.400671, -0.174158
v, -0.434304, 2.316276, -0.159192
