date,likes,comments,art,me,color,color2,color3
11/10/2015,22,1,,TRUE,red,yellow,blue
02/05/2016,58,6,,,yellow,green,red
2/19/2016,27,1,,,green,blue,yellow
7/22/2016,16,0,,,blue,red,green
7/22/2016,21,2,,,red,yellow,blue
7/23/2016,14,0,,,yellow,green,red
7/27/2016,18,0,,,green,blue,yellow
08/06/2016,22,1,,,blue,red,green
08/09/2016,34,0,,,red,yellow,blue
02/04/2017,18,2,,,yellow,green,red
2/17/2017,19,0,,,green,blue,yellow
2/17/2017,14,0,,,blue,red,green
2/20/2017,27,3,,TRUE,red,yellow,blue
03/03/2017,24,0,,TRUE,yellow,green,red
3/17/2017,23,0,,,green,blue,yellow
4/18/2017,29,1,,,blue,red,green
05/08/2017,25,1,,TRUE,red,yellow,blue
5/30/2017,14,0,,,yellow,green,red
6/18/2017,14,0,,,green,blue,yellow
6/18/2017,17,0,,,blue,red,green
7/16/2017,19,1,,,red,yellow,blue
7/17/2017,25,0,,,yellow,green,red
7/22/2017,23,0,,,green,blue,yellow
7/22/2017,12,0,,,blue,red,green
7/28/2017,18,0,,,red,yellow,blue
7/30/2017,15,1,,,yellow,green,red
08/01/2017,14,1,,,green,blue,yellow
08/02/2017,12,0,,,blue,red,green
08/03/2017,11,0,,,red,yellow,blue
08/07/2017,14,0,,,yellow,green,red
08/11/2017,26,0,,,green,blue,yellow
8/13/2017,13,0,,,blue,red,green
8/27/2017,28,1,,,red,yellow,blue
8/29/2017,35,4,,,yellow,green,red
8/29/2017,22,0,,,green,blue,yellow
8/30/2017,30,1,,,blue,red,green
8/30/2017,31,0,,,red,yellow,blue
09/07/2017,29,0,,,yellow,green,red
09/09/2017,30,1,,,green,blue,yellow
09/12/2017,25,0,,,blue,red,green
9/15/2017,32,0,,,red,yellow,blue
9/17/2017,24,0,,,yellow,green,red
9/17/2017,36,1,,,green,blue,yellow
9/20/2017,39,0,,,blue,red,green
9/21/2017,26,2,,,red,yellow,blue
9/24/2017,25,1,,,yellow,green,red
10/03/2017,43,5,,,green,blue,yellow
10/04/2017,29,0,,,blue,red,green
10/09/2017,31,1,,,red,yellow,blue
11/03/2017,19,2,,,yellow,green,red
11/05/2017,30,0,,,green,blue,yellow
12/05/2017,38,0,,,blue,red,green
12/25/2017,35,1,,,red,yellow,blue
01/06/2018,33,0,,,yellow,green,red
01/06/2018,35,0,,,green,blue,yellow
01/12/2018,36,0,,,blue,red,green
1/15/2018,32,2,,,red,yellow,blue
1/17/2018,33,0,,,yellow,green,red
1/19/2018,37,2,,,green,blue,yellow
02/09/2018,33,1,,,blue,red,green
02/10/2018,30,0,,,red,yellow,blue
02/10/2018,39,2,,,yellow,green,red
02/11/2018,33,1,,,green,blue,yellow
03/05/2018,27,0,,,blue,red,green
03/09/2018,26,2,,,red,yellow,blue
3/29/2018,26,0,,,yellow,green,red
4/16/2018,27,0,,,green,blue,yellow
4/17/2018,22,1,,,blue,red,green
4/22/2018,23,0,,,red,yellow,blue
4/24/2018,23,0,,,yellow,green,red
5/30/2018,24,0,,,green,blue,yellow
8/25/2018,26,0,,TRUE,blue,red,green
8/25/2018,26,2,,,red,yellow,blue
8/26/2018,16,0,,,yellow,green,red
09/04/2018,20,0,,,green,blue,yellow
12/17/2018,52,4,,,blue,red,green
12/17/2018,36,6,,TRUE,red,yellow,blue
12/18/2018,40,0,TRUE,,yellow,green,red
12/20/2018,22,2,TRUE,,green,blue,yellow
12/21/2018,40,0,,,blue,red,green
12/26/2018,45,2,TRUE,,red,yellow,blue
01/05/2019,33,3,,,yellow,green,red
02/04/2019,37,0,TRUE,,green,blue,yellow
02/05/2019,23,3,TRUE,,blue,red,green
2/27/2019,40,5,,,red,yellow,blue
3/24/2019,78,6,TRUE,,yellow,green,red
04/08/2019,64,1,TRUE,,green,blue,yellow
5/26/2019,146,9,TRUE,,blue,red,green
06/06/2019,34,1,TRUE,,red,yellow,blue
07/10/2019,56,0,TRUE,,yellow,green,red
7/23/2019,26,0,TRUE,,green,blue,yellow
7/24/2019,43,0,TRUE,,blue,red,green
7/30/2019,31,5,TRUE,,red,yellow,blue
12/23/2019,13,3,,,yellow,green,red
12/23/2019,18,2,,,green,blue,yellow
12/24/2019,20,0,,TRUE,blue,red,green
01/02/2020,16,0,,,red,yellow,blue
01/02/2020,21,1,,,yellow,green,red
01/02/2020,18,0,,,green,blue,yellow
01/05/2020,25,1,,TRUE,blue,red,green
01/06/2020,17,0,,,red,yellow,blue
1/22/2020,21,1,,,yellow,green,red
1/25/2020,33,2,,,green,blue,yellow
1/26/2020,29,1,,,blue,red,green
1/27/2020,24,1,,,red,yellow,blue
1/28/2020,23,1,,,yellow,green,red
1/29/2020,23,1,,,green,blue,yellow
1/31/2020,26,2,,,blue,red,green
02/04/2020,32,2,,,red,yellow,blue
02/05/2020,23,1,,,yellow,green,red
02/09/2020,21,1,,,green,blue,yellow
,,,,,,red,green
,,,,,,yellow,
,,,,,,green,
