date,entryNum,category
13m,0,0
13m,1,1
13m,2,0
13m,3,0
13m,4,2
13m,5,2
13m,6,2
13m,7,0
13m,8,2
13m,9,0
13m,10,2
13m,11,3
13m,12,0
13m,13,1
13m,14,0
13m,15,1
13m,16,0
13m,17,0
13m,18,0
13m,19,0
13m,20,0
13m,21,0
13m,22,1
13m,23,1
13m,24,1
13m,25,1
13m,26,1
13m,27,0
13m,28,1
13m,29,0
13m,30,0
13m,31,1
13m,32,1
13m,33,1
13m,34,0
13m,35,2
13m,36,2
13m,37,2
13m,38,2
13m,39,2
13m,40,2
13m,41,1
13m,42,0
13m,43,1
13m,44,1
13m,45,1
13m,46,0
13m,47,1
13m,48,1
13m,49,0
13m,50,1
13m,51,1
13m,52,2
13m,53,2
13m,54,2
13m,55,0
13m,56,0
13m,57,0
13m,58,0
13m,59,0
13m,60,0
13m,61,1
13m,62,0
13m,63,0
13m,64,1
13m,65,0
13m,66,0
13m,67,2
13m,68,2
13m,69,0
13m,70,2
13m,71,2
13m,72,2
12m,0,1
12m,1,1
12m,2,1
12m,3,0
12m,4,1
12m,5,1
12m,6,1
12m,7,2
12m,8,2
12m,9,2
12m,10,0
12m,11,1
12m,12,0
12m,13,1
12m,14,1
12m,15,2
12m,16,0
12m,17,2
12m,18,1
12m,19,1
12m,20,3
12m,21,1
12m,22,0
12m,23,0
12m,24,0
12m,25,0
12m,26,0
12m,27,0
12m,28,0
12m,29,1
12m,30,1
12m,31,1
12m,32,0
12m,33,1
12m,34,1
12m,35,0
12m,36,1
12m,37,1
12m,38,0
12m,39,1
12m,40,1
12m,41,0
12m,42,1
12m,43,0
12m,44,0
12m,45,2
12m,46,2
12m,47,2
12m,48,2
12m,49,2
12m,50,2
12m,51,2
12m,52,0
12m,53,0
12m,54,0
12m,55,1
12m,56,0
12m,57,0
12m,58,0
12m,59,0
12m,60,0
12m,61,0
12m,62,0
12m,63,2
12m,64,2
12m,65,2
12m,66,0
12m,67,1
12m,68,2
12m,69,2
12m,70,2
14m,0,0
14m,1,2
14m,2,2
14m,3,2
14m,4,1
14m,5,1
14m,6,0
14m,7,0
14m,8,0
14m,9,2
14m,10,0
14m,11,2
14m,12,1
14m,13,1
14m,14,0
14m,15,1
14m,16,0
14m,17,0
14m,18,0
14m,19,0
14m,20,0
14m,21,1
14m,22,1
14m,23,1
14m,24,1
14m,25,1
14m,26,1
14m,27,1
14m,28,0
14m,29,0
14m,30,1
14m,31,1
14m,32,0
14m,33,0
14m,34,0
14m,35,1
14m,36,1
14m,37,1
14m,38,1
14m,39,2
14m,40,2
14m,41,2
14m,42,2
14m,43,2
14m,44,2
14m,45,1
14m,46,1
14m,47,1
14m,48,2
14m,49,2
14m,50,2
14m,51,1
14m,52,0
14m,53,1
14m,54,0
14m,55,1
14m,56,1
14m,57,1
14m,58,0
14m,59,2
14m,60,2
14m,61,2
14m,62,0
14m,63,0
14m,64,0
14m,65,0
14m,66,0
14m,67,0
14m,68,0
14m,69,3
14m,70,1
14m,71,0
14m,72,0
14m,73,0
14m,74,1
14m,75,1
14m,76,1
14m,77,1
14m,78,1
14m,79,2
14m,80,1
14m,81,2
14m,82,0
14m,83,2
14m,84,2
14m,85,2
