verticies,x,y,z
v, -0.146967, 0.023154, 0.561552
v, -0.222205, 0.030977, 0.529113
v, -0.195179, 0.014531, 0.573296
v, -0.107460, 4.326537, 0.005741
v, -0.125911, 4.298186, -0.014896
v, -0.141570, 4.315535, 0.002031
v, -0.805877, 2.360793, -0.244001
v, -0.775539, 2.397300, -0.254836
v, -0.728342, 2.313304, -0.224845
v, 0.008131, 2.400630, -0.650099
v, 0.030066, 2.395036, -0.628778
v, 0.046101, 2.419631, -0.695864
v, -0.013261, 1.746489, -0.037188
v, -0.054048, 1.764917, -0.071104
v, -0.058485, 1.775625, -0.035683
v, 0.612163, 3.526844, -0.535411
v, 0.611889, 3.487752, -0.514408
v, 0.584737, 3.482990, -0.539022
v, 0.476938, 3.954986, 0.026103
v, 0.522325, 3.961618, -0.004275
