verticies,x,y,z
v, -0.146967, 0.023154, 0.561552
v, -0.222205, 0.030977, 0.529113
v, -0.195179, 0.014531, 0.573296
v, -0.107460, 4.326537, 0.005741
v, -0.125911, 4.298186, -0.014896
v, -0.141570, 4.315535, 0.002031
v, -0.805877, 2.360793, -0.244001
v, -0.775539, 2.397300, -0.254836
v, -0.728342, 2.313304, -0.224845
v, 0.008131, 2.400630, -0.650099
v, 0.030066, 2.395036, -0.628778
v, 0.046101, 2.419631, -0.695864
v, -0.013261, 1.746489, -0.037188
v, -0.054048, 1.764917, -0.071104
v, -0.058485, 1.775625, -0.035683
v, 0.612163, 3.526844, -0.535411
v, 0.611889, 3.487752, -0.514408
v, 0.584737, 3.482990, -0.539022
v, 0.476938, 3.954986, 0.026103
v, 0.522325, 3.961618, -0.004275
v, 0.490057, 3.905067, 0.005063
v, 0.734720, 2.808012, -0.465515
v, 0.641927, 2.736206, -0.422891
v, 0.647242, 2.815694, -0.431085
v, -0.410321, -0.007536, -0.356488
v, -0.538208, -0.017452, -0.129922
v, -0.474901, -0.018640, -0.145055
v, -0.496511, -0.012946, -0.192565
v, -0.440660, -0.006765, 0.345159
v, -0.439781, 0.012301, 0.295604
v, -0.502595, -0.001829, 0.258310
v, -0.450403, 0.090416, 0.208052
v, -0.478958, 0.037070, 0.188506
v, -0.460037, 0.044389, 0.219233
v, -0.467786, 0.019932, 0.240640
v, -0.400044, 0.075620, 0.307506
v, -0.349515, 0.016128, 0.340563
v, -0.343194, 0.094609, 0.367045
v, -0.525039, -0.011407, 0.333293
v, -0.311786, 0.120613, 0.404969
v, -0.324739, 0.061223, 0.388267
v, -0.265298, 0.076554, 0.465458
v, -0.375124, 3.451958, 0.957312
v, -0.378681, 3.438336, 0.928672
v, -0.391365, 3.475759, 0.977526
v, -0.517361, 3.533137, 1.017863
v, -0.569904, 3.485012, 0.990034
v, -0.583197, 3.554064, 1.021192
v, -0.537314, 3.360413, 1.163294
v, -0.557178, 3.343360, 1.129850
v, -0.532541, 3.326208, 1.133159
v, -0.500753, 3.343402, 0.771184
v, -0.561737, 3.272336, 0.823546
v, -0.481693, 3.325369, 0.791539
v, -0.995057, 3.174739, 0.601565
v, -0.999483, 3.205050, 0.673858
v, -1.015271, 3.206810, 0.592353
v, -0.763503, 2.873468, 0.439633
v, -0.733413, 2.815857, 0.404339
v, -0.767039, 2.854099, 0.456653
v, -0.539051, 0.894365, 0.136137
v, -0.521503, 0.993137, 0.206573
v, -0.543740, 0.997943, 0.111463
v, -0.518263, 0.833045, 0.204461
v, -0.528951, 0.811549, 0.183108
v, -0.614500, 2.546155, 0.431070
v, -0.590583, 2.525319, 0.354929
v, -0.571992, 2.472932, 0.401178
v, -0.634915, 3.239207, 0.576749
v, -0.649097, 3.280737, 0.592942
v, -0.570435, 3.242779, 0.595138
v, -0.772174, 3.169452, 0.462581
v, -0.730565, 3.159538, 0.443319
v, -0.779924, 3.118548, 0.428283
v, -0.653060, 3.302397, 0.419672
v, -0.690670, 3.387668, 0.405708
v, -0.685797, 3.337180, 0.406739
v, 0.199784, 3.873799, 1.359835
v, 0.206922, 3.855175, 1.318048
v, 0.178601, 3.898511, 1.345745
v, -0.543981, 1.456396, 0.035539
v, -0.544710, 1.362967, 0.083364
v, -0.527376, 1.370736, 0.157609
v, -0.448560, 2.205400, 0.118143
v, -0.455155, 2.185630, 0.089382
v, -0.455509, 2.135336, 0.097853
v, -0.436661, 3.001963, 0.914479
v, -0.477622, 3.049445, 0.923066
v, -0.507945, 3.046643, 0.904301
v, 0.087666, 1.581543, 0.520241
v, 0.064356, 1.500516, 0.541944
v, 0.115721, 1.545244, 0.522457
v, -0.137951, 3.421211, 0.549762
v, -0.071560, 3.369766, 0.531353
v, -0.051531, 3.430475, 0.517814
v, -0.725950, 2.796608, 0.603673
v, -0.736742, 2.867836, 0.627194
v, -0.761798, 2.833650, 0.606613
v, -0.262589, 3.065779, 0.669770
v, -0.252873, 3.147266, 0.681759
v, -0.286760, 3.079001, 0.747523
v, -0.089966, 3.091070, 0.482346
v, -0.138912, 3.011234, 0.518828
v, -0.082973, 3.074592, 0.482323
v, -0.385893, 3.473020, 0.990598
v, -0.367155, 3.428711, 0.971989
v, -0.296435, 3.021730, 0.717709
v, -0.676265, 3.160789, 0.720106
v, -0.775937, 3.169204, 0.717673
v, -0.755068, 3.137171, 0.744804
v, -0.555881, 4.099575, 1.462288
v, -0.553592, 4.134950, 1.526078
v, -0.524444, 4.115312, 1.545455
v, -0.611372, 3.288627, 0.602381
v, -0.474655, 4.430573, -0.013357
v, -0.498323, 4.456104, 0.034912
v, -0.460548, 4.476299, 0.019121
v, -0.250551, 4.613864, 0.961333
v, -0.257097, 4.648549, 0.940877
v, -0.324114, 4.611026, 0.961323
