Year,d13C,C,error,,,,,, 
991,-25.3,42,0.506,,,,,,
989,-25.7,42.5,0.514,,,,,,
987,-25.8,42.1,0.516,,,,,,
985,-25.9,41.6,0.518,,,,,,
983,-25,42,0.5,,,,,,
981,-25.4,41.3,0.508,,,,,,
979,-25,42.2,0.5,,,,,,
977,-24.6,41.9,0.492,,,,,,
975,-25.4,42,0.508,,,,,,
973,-25.2,42.2,0.504,,,,,,
971,-24.8,41.3,0.493,,,,,,
969,-25.3,41.3,0.506,,,,,,
967,-25.8,42.3,0.516,,,,,,
965,-25.4,41.6,0.508,,,,,,
963,-24.8,42.1,0.496,,,,,,
961,-25.1,41.8,0.502,,,,,,
959,-24.9,41.5,0.498,,,,,,
957,-25.2,41.7,0.504,,,,,,
955,-25.2,41.8,0.504,,,,,,
953,-24.4,42,0.488,,,,,,
951,-24.8,42.7,0.496,,,,,,
949,-25.2,41.5,0.504,,,,,,
947,-25.3,42.1,0.506,,,,,,
945,-25.3,41.1,0.506,,,,,,
943,-25.4,41.6,0.508,,,,,,
941,-24.9,41.9,0.498,,,,,,
939,-24.7,41.4,0.494,,,,,,
937,-24.6,41.5,0.492,,,,,,
935,-24.9,41.9,0.498,,,,,,
933,-24.4,42.1,0.488,,,,,,
931,-25,42,0.5,,,,,,
929,-25.5,41.8,0.51,,,,,,
927,-24.6,41.4,0.492,,,,,,
925,-25,41.6,0.5,,,,,,
923,-24.6,41.4,0.492,,,,,,
921,-24.9,41.5,0.498,,,,,,
919,-25.1,42,0.502,,,,,,
917,-25,42.2,0.5,,,,,,
915,-25,42.4,0.5,,,,,,
913,-25,41.9,0.5,,,,,,
911,-25.3,41.9,0.506,,,,,,
909,-24.6,41.9,0.492,,,,,,
907,-24.9,42.1,0.498,,,,,,
905,-24.1,41.7,0.482,,,,,,
903,-24.9,42.1,0.498,,,,,,
901,-25,41.9,0.5,,,,,,
899,-24.4,42.5,0.488,,,,,,
897,-24.1,42,0.482,,,,,,
895,-23.9,42.3,0.478,,,,,,
893,-24.2,41.8,0.484,,,,,,
891,-24.6,41.8,0.492,,,,,,
889,-23.8,40.9,0.476,,,,,,
887,-24.3,43,0.486,,,,,,
885,-23.9,42.5,0.478,,,,,,
883,-23.9,43.3,0.478,,,,,,
881,-24.3,41.8,0.486,,,,,,
879,-24.8,43.1,0.496,,,,,,
877,-24.5,43.1,0.49,,,,,,
875,-24.4,43.2,0.488,,,,,,
873,-24.6,42.2,0.492,,,,,,
871,-24.9,42.6,0.498,,,,,,
869,-24.8,43,0.496,,,,,,
867,-25,43.2,0.5,,,,,,
865,-25,42.6,0.5,,,,,,
863,-25.1,42.3,0.502,,,,,,
861,-24.6,42.5,0.492,,,,,,
859,-25.1,43.1,0.502,,,,,,
